aid,dt.published,dt.funded,donation,donor,title,journalist,donation.med,donation.mean,donation.min,donation.max,donation.p25,donation.p75,n.images,n.words,url.article,url.detail,n.donor.indiv,n.donor.indiv.male,n.donor.indiv.female,n.fb.like,n.fb.share,n.fb.comment,n.fb.total,tle.count,f.tle.有捐款幫助的想法,f.tle.不忍觀看.想要迴避,f.tle.不舒服,f.tle.沮喪.無力,f.tle.難過,f.tle.同情,f.tle.可憐,f.tle.生活艱苦.極需幫助,tleximg.count,f.tleximg.有捐款幫助的想法,f.tleximg.不忍觀看.想要迴避,f.tleximg.誠實,f.tleximg.不舒服,f.tleximg.沮喪.無力,f.tleximg.難過,f.tleximg.同情,f.tleximg.可憐,f.tleximg.可信任,f.tleximg.生活艱苦.極需幫助,f.tleximg.吸引力,f.tleximg.體型,f.meta.reporter.記者1,f.meta.reporter.記者2,f.meta.reporter.記者3,f.meta.reporter.記者4,f.meta.reporter.記者5,f.meta.reporter.記者6,f.meta.reporter.記者7,f.meta.reporter.記者8,dt.published.monthday,dt.published.weekday,f.meta.day.of.week.Fri,f.meta.day.of.week.Mon,f.meta.day.of.week.Sun,f.meta.day.of.week.Thu,f.meta.day.of.week.Tue,f.meta.day.of.week.Wed,f.meta.word.count,f.meta.word.count.scale,f.meta.image.count,dt.published.month,f.meta.month.Apr,f.meta.month.Aug,f.meta.month.Dec,f.meta.month.Feb,f.meta.month.Jan,f.meta.month.Jul,f.meta.month.Jun,f.meta.month.Mar,f.meta.month.May,f.meta.month.Nov,f.meta.month.Oct,f.meta.month.Sep,day.from.start,donor.org,donation.org,donation.med.org,donation.mean.org,f.any.adult.condition,f.any.adult.disability,f.any.adult.disease,f.any.adult.event,f.any.adult.habit,f.any.child.condition,f.any.child.disability,f.any.child.disease,f.any.child.event,f.any.child.habit,f.any.child_infant.condition,f.any.child_infant.disability,f.any.child_infant.disease,f.any.child_infant.event,f.any.child_infant.habit,f.any.condition.受家人看護,f.any.condition.固定回診,f.any.condition.在外成家或工作,f.any.condition.失聯,f.any.condition.有穩定工作,f.any.condition.植物人,f.any.condition.死亡,f.any.condition.無穩定工作,f.any.condition.現正住院,f.any.condition.看護家人,f.any.condition.臥病在家,f.any.condition.身體癱瘓,f.any.dead.adult,f.any.dead.child,f.any.dead.child_infant,f.any.dead.elder,f.any.dead.elder_adult,f.any.dead.infant,f.any.disability.味覺,f.any.disability.嗅覺,f.any.disability.智能,f.any.disability.皮膚,f.any.disability.精神,f.any.disability.聽覺,f.any.disability.肢體,f.any.disability.視覺,f.any.disability.言語,f.any.disease.呼吸道,f.any.disease.失智,f.any.disease.心血管,f.any.disease.炎,f.any.disease.癌,f.any.disease.精神,f.any.disease.糖尿病,f.any.disease.肝,f.any.disease.脊椎,f.any.disease.腎,f.any.disease.腦,f.any.disease.關節,f.any.disease.鬱,f.any.elder_adult.condition,f.any.elder_adult.disability,f.any.elder_adult.disease,f.any.elder_adult.event,f.any.elder_adult.habit,f.any.elder.condition,f.any.elder.disability,f.any.elder.disease,f.any.elder.event,f.any.elder.habit,f.any.event.人為事故,f.any.event.債務,f.any.event.入獄,f.any.event.喪偶,f.any.event.天然災害,f.any.event.失業,f.any.event.婚變,f.any.event.家暴,f.any.event.急性病症,f.any.event.意外事故,f.any.event.慢性病症,f.any.event.自殺,f.any.event.輟學,f.any.event.遺傳病症,f.any.event.離婚,f.any.habit.吃檳榔,f.any.habit.吸毒,f.any.habit.喝酒,f.any.habit.抽菸,f.any.habit.賭博,f.any.habit.過勞,f.any.infant.condition,f.any.infant.disability,f.any.infant.disease,f.any.infant.event,f.any.infant.habit,f.any.student,f.any.subsidized,f.any.零工,f.subject.condition.受家人看護,f.subject.condition.固定回診,f.subject.condition.在外成家或工作,f.subject.condition.失聯,f.subject.condition.有穩定工作,f.subject.condition.植物人,f.subject.condition.死亡,f.subject.condition.無穩定工作,f.subject.condition.現正住院,f.subject.condition.看護家人,f.subject.condition.臥病在家,f.subject.condition.身體癱瘓,f.subject.disability.味覺,f.subject.disability.嗅覺,f.subject.disability.智能,f.subject.disability.皮膚,f.subject.disability.精神,f.subject.disability.聽覺,f.subject.disability.肢體,f.subject.disability.視覺,f.subject.disability.言語,f.subject.disease.呼吸道,f.subject.disease.失智,f.subject.disease.心血管,f.subject.disease.炎,f.subject.disease.癌,f.subject.disease.精神,f.subject.disease.糖尿病,f.subject.disease.肝,f.subject.disease.脊椎,f.subject.disease.腎,f.subject.disease.腦,f.subject.disease.關節,f.subject.disease.鬱,f.subject.event.人為事故,f.subject.event.債務,f.subject.event.入獄,f.subject.event.喪偶,f.subject.event.天然災害,f.subject.event.失業,f.subject.event.婚變,f.subject.event.家暴,f.subject.event.急性病症,f.subject.event.意外事故,f.subject.event.慢性病症,f.subject.event.自殺,f.subject.event.輟學,f.subject.event.遺傳病症,f.subject.event.離婚,f.subject.gender,f.subject.habit.吃檳榔,f.subject.habit.吸毒,f.subject.habit.喝酒,f.subject.habit.抽菸,f.subject.habit.賭博,f.subject.habit.過勞,f.subject.student,f.subject.subsidized,f.subject.零工,f.age.max,f.age.min,f.all.dead.adult,f.all.dead.child,f.all.dead.child_infant,f.all.dead.elder,f.all.dead.elder_adult,f.all.dead.infant,f.finance.below.poverty.line,f.finance.income.source,f.count.adult,f.count.adult.female,f.count.adult.male,f.count.child,f.count.child.female,f.count.child_infant,f.count.child_infant.female,f.count.child_infant.male,f.count.child.male,f.count.elder,f.count.elder_adult,f.count.elder_adult.female,f.count.elder_adult.male,f.count.elder.female,f.count.elder.male,f.count.female,f.count.infant,f.count.infant.female,f.count.infant.male,f.count.male,f.count.members,f.count.minority,f.count.minority.female,f.count.minority.male,f.count.student,f.ratio.adult,f.ratio.adult.female,f.ratio.adult.male,f.ratio.child,f.ratio.child.female,f.ratio.child_infant,f.ratio.child_infant.female,f.ratio.child_infant.male,f.ratio.child.male,f.ratio.elder,f.ratio.elder_adult,f.ratio.elder_adult.female,f.ratio.elder_adult.male,f.ratio.elder.female,f.ratio.elder.male,f.ratio.female,f.ratio.infant,f.ratio.infant.female,f.ratio.infant.male,f.ratio.male,f.ratio.minority,f.ratio.minority.female,f.ratio.minority.male,f.ratio.student,relation.all,f.relation.any.divorce,f.relation.any.kids,f.relation.any.kids.dead,f.relation.any.marriage,f.relation.any.parents.alive,f.relation.any.sibilings,f.relation.both.parents.alive,f.relation.has.adoption,f.relation.has.divorce,f.relation.has.grandparenting,f.relation.is.cohabitation,relation.others,relation.subject,subject.age,f.subject.age.L1_3_40,f.subject.age.L2_41_48,f.subject.age.L3_49_92,f.subject.gender.age.F_L1_3_40,f.subject.gender.age.F_L2_41_48,f.subject.gender.age.F_L3_49_92,f.subject.gender.age.M_L1_3_40,f.subject.gender.age.M_L2_41_48,f.subject.gender.age.M_L3_49_92,f.subject.marital.status.lose.married,f.subject.marital.status.married,f.subject.marital.status.NA.,f.subject.marital.status.unmarried,f.finance.income.level.L1_300_9600,f.finance.income.level.L2_9650_18000,f.finance.income.level.L3_18200_100000,f.finance.income.level.NA,f.finance.expense.level.L1_40_7000,f.finance.expense.level.L2_7200_14500,f.finance.expense.level.L3_14700_200000,f.finance.expense.level.NA,rank,dep
A1797,2009-02-11,2009-03-19,593860.377951404,877.038040956334,夫猝死 洗腎婦苦養幼女,記者1,354.260615951627,686.926035012839,1,10000,100,600,2,993,http://www.appledaily.com.tw/appledaily/article/headline/20090211/31381842,http://www.appledaily.com.tw/charity/projdetail/proj/A1797,675,404,271,0,1,1,2,4,4.5,2,2.25,3.25,4.25,5.5,5.75,5.5,2,4.5,1.5,5,1.5,2.5,3,4.5,5.5,5,6,4.5,5,1,0,0,0,0,0,0,0,11,Wed,0,0,0,0,0,1,993,2.99694924849538,2,Feb,0,0,0,1,0,0,0,0,0,0,0,0,407,785,488227,300,621.945222929936,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61,10,0,0,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0.666666666666667,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,結婚;領養,0,0,0,1,0,0,0,1,0,0,0,領養,結婚;領養,52,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,109,2
A2819,2012-07-13,2012-08-17,626989.309853679,873.835349203199,母腦傷 憂3子「沒得吃」,記者3,441.537923048409,691.346334459862,1,15000,100,1000,1,876,http://www.appledaily.com.tw/appledaily/article/headline/20120713/34364478,http://www.appledaily.com.tw/charity/projdetail/proj/A2819,836,483,353,6,8,1,15,4,2.75,2,1.75,2.75,3.25,5.5,5.5,5,3,2.33,2.67,4.33,2.33,2.33,5,5.33,5.67,5.67,5.67,3.67,4.67,0,0,1,0,0,0,0,0,13,Fri,1,0,0,0,0,0,876,2.94250410616808,1,Jul,0,0,0,0,0,1,0,0,0,0,0,0,1655,973,740802,500,761.358684480987,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,13,0,0,0,0,0,0,1,2,3,0,1,3,0,3,0,1,1,0,3,0,1,0,0,0,0,0,0,2,4,3,0,1,2,0.5,0,0.166666666666667,0.5,0,0.5,0,0.166666666666667,0.166666666666667,0,0.5,0,0.166666666666667,0,0,0,0,0,0,0.333333333333333,0.5,0,0.166666666666667,0.333333333333333,兄弟姊妹;好友;生育;離婚,1,1,0,0,1,0,0,0,1,0,0,兄弟姊妹,好友;生育;離婚,38,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,110,2
A1527,2008-03-07,2008-04-11,553030.202647979,872.281725161317,苦撐顧癱妻 老翁愁醫費,記者3,385.060646624701,634.058270638571,2,10000,100,500,2,1020,http://www.appledaily.com.tw/appledaily/article/headline/20080307/30328194,http://www.appledaily.com.tw/charity/projdetail/proj/A1527,632,345,287,0,0,0,0,4,4.5,1.75,2,3,3.5,5,5.25,5,3,4.33,2,4.67,2,2.33,3.33,5.33,5.33,4.67,4.67,4.33,3.67,0,0,1,0,0,0,0,0,7,Fri,1,0,0,0,0,0,1020,3.00860017176192,2,Mar,0,0,0,0,0,0,0,1,0,0,0,0,66,728,387436,300,532.192307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,52,9,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,4,4,0,3,0,3,0,0,0,0,4,3,1,0,1,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.8,0.8,0,0.6,0,0.6,0,0,0,0,0.8,0.2,0,0.2,0,兄弟;生育;結婚,0,1,0,1,0,1,0,0,0,0,0,生育,兄弟;生育;結婚,67,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,111,2
A2025,2009-11-12,2009-12-18,640800.712359436,872.059244850277,父染新流感亡 聽障女失依,記者4,529.512204208452,745.010773486486,2,10000,103.5,1000,1,1009,http://www.appledaily.com.tw/appledaily/article/headline/20091112/32084811,http://www.appledaily.com.tw/charity/projdetail/proj/A2025,708,453,255,0,1,1,2,7,5.14,3,2.43,4.43,5,5.71,5.86,6,3,4.33,2.33,5.33,2.67,3,5,5.33,5,5.33,5.33,4.67,4,0,0,0,1,0,0,0,0,12,Thu,0,0,0,1,0,0,1009,3.00389116623691,1,Nov,0,0,0,0,0,0,0,0,0,1,0,0,681,822,583347,500,709.667883211679,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6,0,0,0,0,0,0,1,1,4,0,1,2,0,3,0,1,1,0,4,0,1,0,0,0,1,0,0,2,1,3,0,1,0,0.571428571428571,0,0.142857142857143,0.285714285714286,0,0.428571428571429,0,0.142857142857143,0.142857142857143,0,0.571428571428571,0,0.142857142857143,0,0,0,0.142857142857143,0,0,0.285714285714286,0.428571428571429,0,0.142857142857143,0,兄弟姊妹;生育;結婚,0,1,1,0,0,0,0,0,0,0,0,兄弟姊妹;生育;結婚,生育,13,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,112,2
A2405,2011-03-01,2011-04-12,658335.407649242,871.4389917325,3兒貼心 願陪癌母吃苦,記者4,486.699258346173,749.428272164977,1,20000,150,1000,2,811,http://www.appledaily.com.tw/appledaily/article/headline/20110301/33215112,http://www.appledaily.com.tw/charity/projdetail/proj/A2405,784,486,298,2,1,0,3,2,5,3,3,3.5,3.5,5.5,5.5,5,3,5,3.67,4.67,3.67,3.67,3.67,5.67,5.67,5,5.33,5.33,2.67,0,0,0,1,0,0,0,0,1,Tue,0,0,0,0,1,0,811,2.90902085421116,2,Mar,0,0,0,0,0,0,0,1,0,0,0,0,1155,894,684229,500,765.356823266219,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18,11,0,0,0,1,0,0,1,1,3,0,2,3,0,3,0,3,3,1,4,0,2,0,0,0,0,0,0,5,3,3,0,3,3,0.428571428571429,0,0.285714285714286,0.428571428571429,0,0.428571428571429,0,0.428571428571429,0.428571428571429,0.142857142857143,0.571428571428571,0,0.285714285714286,0,0,0,0,0,0,0.714285714285714,0.428571428571429,0,0.428571428571429,0.428571428571429,生育;離婚,1,1,0,0,0,0,0,0,1,0,0,生育,生育;離婚,40,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,113,2
A1478,2008-01-08,2008-02-19,536385.656187855,871.320954979775,癌末父抱病養家癱躺入院,記者3,323.389684189837,610.221388823266,2,10000,100,500,1,799,http://www.appledaily.com.tw/appledaily/article/headline/20080108/30147919,http://www.appledaily.com.tw/charity/projdetail/proj/A1478,599,362,237,0,0,0,0,3,5,4.67,3,4,4.67,5.33,5.67,5.33,7,5,4,4.71,3,4.14,5,5.43,5.57,4.86,5.29,4,2.86,0,0,1,0,0,0,0,0,8,Tue,0,0,0,0,1,0,799,2.90254677931399,1,Jan,0,0,0,0,1,0,0,0,0,0,0,0,7,718,360417,233,501.973537604457,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,0,0,0,0,0,0,1,3,0,1,1,0,3,0,2,1,0,3,0,1,0,0,0,2,0,1,3,5,3,0,2,0,0.5,0,0.166666666666667,0.166666666666667,0,0.5,0,0.333333333333333,0.166666666666667,0,0.5,0,0.166666666666667,0,0,0,0.333333333333333,0,0.166666666666667,0.5,0.5,0,0.333333333333333,0,生育;結婚,0,1,0,1,0,0,0,0,0,0,0,生育,生育;結婚,32,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,114,2
A1647,2008-07-31,2008-09-03,616920.826091674,870.913461542762,兒2死1罹癌 八旬母無依靠,記者2,371.873536717754,722.921290724407,2,20000,100,534,2,849,http://www.appledaily.com.tw/appledaily/article/headline/20080731/30802949,http://www.appledaily.com.tw/charity/projdetail/proj/A1647,643,369,274,0,0,0,0,3,5.67,4,3.67,5,5.33,5.67,6,6,3,5,3.67,5.33,2.67,5.33,5.67,5.33,5,5,5.67,4.67,3,0,1,0,0,0,0,0,0,31,Thu,0,0,0,1,0,0,849,2.92890769024395,2,Jul,0,0,0,0,0,1,0,0,0,0,0,0,212,749,476999,300,636.84779706275,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,58,0,0,0,0,0,0,0,2,4,0,3,2,0,2,0,2,2,1,5,0,3,0,0,0,0,0,0,5,1,2,0,2,0,0.571428571428571,0,0.428571428571429,0.285714285714286,0,0.285714285714286,0,0.285714285714286,0.285714285714286,0.142857142857143,0.714285714285714,0,0.428571428571429,0,0,0,0,0,0,0.714285714285714,0.285714285714286,0,0.285714285714286,0,兄弟姊妹;生育,0,1,1,0,0,0,0,0,0,0,0,兄弟姊妹;生育,生育,80,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,115,2
A2758,2012-05-03,2012-06-14,634073.821740649,869.71306644236,9歲童慰癌母 「媽媽加油」,記者6,447.950832660692,705.310555688546,1,15000,100,1000,2,723,http://www.appledaily.com.tw/appledaily/article/headline/20120503/34201153,http://www.appledaily.com.tw/charity/projdetail/proj/A2758,827,491,336,42,10,4,56,3,2.33,1.33,1.67,3,3,4.67,4.33,3.67,4,2.5,1.75,5,1.5,2.25,3.5,4.5,5.25,5,4.5,2.75,3.5,0,0,0,0,0,1,0,0,3,Thu,0,0,0,1,0,0,723,2.85913829729453,2,May,0,0,0,0,0,0,0,0,1,0,0,0,1584,958,735402,500,767.643006263048,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74,9,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,1,3,1,0,1,1,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,生育;隔代撫養,0,1,0,0,1,0,0,0,0,1,0,隔代撫養,生育,50,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,116,2
A3010,2013-03-07,2013-04-12,626015.657498582,869.52522264431,女重病母洗腎 癌男苦撐,記者4,420.131450117269,681.965859639109,1,20000,100,1000,2,761,http://www.appledaily.com.tw/appledaily/article/headline/20130307/34870415,http://www.appledaily.com.tw/charity/projdetail/proj/A3010,856,510,346,4,6,1,11,4,3.75,4,3.75,4.5,4.25,5.25,4.25,5.25,3,2.33,3,3.33,2.67,2,2.33,3.33,3,3.33,4.67,2.67,4,0,0,0,1,0,0,0,0,7,Thu,0,0,0,1,0,0,761,2.88138465677057,2,Mar,0,0,0,0,0,0,0,1,0,0,0,0,1892,1005,781502,500,777.613930348259,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,65,15,0,0,0,0,0,0,1,1,6,0,2,2,0,2,0,1,1,2,8,0,3,0,1,0,0,0,0,4,3,2,0,1,2,0.6,0,0.2,0.2,0,0.2,0,0.1,0.1,0.2,0.8,0,0.3,0,0.1,0,0,0,0,0.4,0.2,0,0.1,0.2,兄弟姊妹;生育;結婚;離婚,1,0,0,0,1,1,1,0,1,0,0,生育;結婚,兄弟姊妹;生育;離婚,46,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,117,2
A1704,2008-10-07,2008-11-11,605978.828791477,869.495366158777,視障嬤手傷失業 祖孫陷困,記者2,365.731595117259,709.343426823856,4,20000,100,550,2,780,http://www.appledaily.com.tw/appledaily/article/headline/20081007/31022744,http://www.appledaily.com.tw/charity/projdetail/proj/A1704,644,379,265,0,0,0,0,4,4,3.5,3.75,4.25,4.5,4.25,5.75,5.75,2,3,4,4,4,4,4,2.5,4,3.5,5,4,2,0,1,0,0,0,0,0,0,7,Tue,0,0,0,0,1,0,780,2.89209460269048,2,Oct,0,0,0,0,0,0,0,0,0,0,1,0,280,758,478014,300,630.625329815303,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,4,0,3,2,0,2,0,1,1,0,4,0,3,0,0,0,0,0,0,4,1,2,0,1,0,0.666666666666667,0,0.5,0.333333333333333,0,0.333333333333333,0,0.166666666666667,0.166666666666667,0,0.666666666666667,0,0.5,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0.166666666666667,0,兄弟姊妹;生育;結婚;隔代撫養,0,1,1,1,0,0,0,0,0,1,0,兄弟姊妹;生育,生育;結婚;隔代撫養,53,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,118,2
A1502,2008-01-31,2008-03-10,573129.377689259,868.797187423427,78歲嬤喪子 獨育癌夫孫女,記者2,388.31226276614,663.764168930246,2,10000,100,504.5,2,860,http://www.appledaily.com.tw/appledaily/article/headline/20080131/30221524,http://www.appledaily.com.tw/charity/projdetail/proj/A1502,606,360,246,0,0,0,0,3,6.33,3.67,3.67,3.67,3.67,6.33,6.33,6.33,3,5.67,3.67,5.33,2.67,4.67,5.67,5.33,5.67,5.67,5,4.33,2.67,0,1,0,0,0,0,0,0,31,Thu,0,0,0,1,0,0,860,2.93449845124357,2,Jan,0,0,0,0,1,0,0,0,0,0,0,0,30,719,401205,300,558.004172461752,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,14,0,0,0,0,0,0,0,3,7,0,3,5,0,5,0,3,3,3,10,0,5,0,2,0,0,0,0,8,2,5,0,3,1,0.466666666666667,0,0.2,0.333333333333333,0,0.333333333333333,0,0.2,0.2,0.2,0.666666666666667,0,0.333333333333333,0,0.133333333333333,0,0,0,0,0.533333333333333,0.333333333333333,0,0.2,0.0666666666666667,兄弟;生育;結婚;隔代撫養;離婚,0,1,1,1,1,0,0,0,1,1,0,兄弟;生育;結婚;離婚,生育;結婚;隔代撫養,78,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,119,2
